question,answers
"which  social insects live in large colonies in the soil and feed on wood, plant matter, and other cellulose-containing materials.",Termites 
what spreads cassava mosaic diesease.,whiteflies 
Which soil is better for maize production?,"Maize requires well-drained soils with a good supply of nutrients and moisture. It cannot withstand even a slight degree of waterlogging and therefore can be killed if stands in water for a day. Preferred soil for maize production should also be deep, well-aerated with moderate pH 5.5-6.5, and rich in organic matter."
which nutrients can we get from cassava roots.,"The root is rich in carbohydrates and contains essential nutrients such as iron, calcium, and vitamin C."
what causes Cassava mosaic disease,"Cassava mosaic disease (CMD) is caused by several species of single-stranded DNA viruses in the genus Begomovirus, family Geminiviridae."
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions."
what is top side dressing?, refers to the application of fertilizers on the soil surface around the base of the plants after they have been established
"Apart from supergro, what other fertilizer can a farmer use to retain moisture in the garden during the period of drought?","Organic matter: Adding organic matter to the soil can help improve soil structure, increase water-holding capacity, and promote healthy root growth. Organic matter can come from compost, manure, or other plant residues."
name examples of compound fertilizers.,"NPK (Nitrogen-Phosphorus-Potasium) 15:15:15, NPK 17:17:17, or NPK 20:10:10"
Do the use of artificial fertilizers degrade the soil? ," Artificial fertilizers primarily provide nutrients without adding organic matter to the soil. This can lead to a decrease in organic matter content over time, affecting soil structure, water-holding capacity, and nutrient cycling."
what is farmyard manure.,"Farmyard manure (FYM), also known as organic manure or compost, is a mixture of animal waste, plant residues, and other organic materials that have been decomposed by microorganisms"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
what are organic fertilizers.,"Organic fertilizers are made from natural materials such as compost, manure, and bone meal. They can provide a range of nutrients and help to improve soil structure and fertility over time."
